provincia,comune,zone,property_type,condition,fascia,price_m2,price_m2_prev,rental_m2,area_m2,lat,lng,dist_cbd_km,seismic_zone,pga,flood_ord,flood_any,landslide_ord,landslide_any,landslide_aa,subsidence_velocity,subsidence_risk_class,fire_score,fire_is_direct,rr20mm,r99pday,precip_dist_km,p99_dist_km,coastal_dist_m,coastal_change_m_year,is_coastal_zone,is_urban,cri_2021_2050_med,cri_2071_2100_med,aci,zone_description,microzona,n_particelle,price_m2_std,cdd,su95p
Milano,Arese,D2,Abitazioni civili,NORMALE,D,2175.0,2175.0,8.9,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Abitazioni civili,OTTIMO,D,2925.0,2925.0,11.9,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Abitazioni di tipo economico,NORMALE,D,1625.0,1625.0,6.3,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Box,NORMALE,D,975.0,975.0,4.4,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Capannoni industriali,NORMALE,D,650.0,650.0,4.4,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Laboratori,NORMALE,D,675.0,675.0,4.4,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Magazzini,NORMALE,D,600.0,575.0,3.25,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Negozi,NORMALE,D,1550.0,1550.0,9.2,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Uffici,OTTIMO,D,1625.0,1625.0,7.8,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
Milano,Arese,D2,Ville e Villini,NORMALE,D,2250.0,2250.0,8.05,7552.2186,45.56285264175,9.06007227982847,14.930756775546334,4.0,0.042184,0.1,0.07,0.0,0.0,0.0,-0.99,1.24,1.0,1.0,9.64,0.68,1.69641,1.69641,,,0.0,0.49,0.167,-0.02,1.572,"VALERA, STRADA S. VARESINA, MARCONI, PARADISO -",2.0,100,0.0,33.93000030517578,46.599998474121094
